ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Avec enfant,Distance en descente,Nombre total de séries,Nombre total de répétitions,Support
19742033175,"14 août 2026, 14:56:00",Mont vache noire avec Manu,Course à pied,"Dernier jour dans les laurentides, parcours hyper technique et éprouvant, impossible de maintenir une allure convenable...
Très belle forêt cela dit ",9468,"13,31",184.0,82,false,,Scott Kinabalu ULTRA Rc,activities/20873517377.fit.gz,,,9468.0,7443.0,13317.0,5.12,1.789,744.9,744.9,334.3,744.0,38.6,0.0,,,122.0,69.0,184.0,140.0,,,1166.0,,,82.0,,,,,,,,,,,0.0,,0.0,,1.0,17504.5,,,,,,,,,,,,,,,,20957754.0,,,,,,,,,,,1.407,13318.4,,,,16018.0,0.0,,,,2.352,,,,,,,,,,,,media/176a013a-dbd6-4499-bec0-bc1611b85f7e.jpg|media/18f7854e-2b53-49a8-a834-74111fa65726.jpg|media/e218f30d-bf75-43a2-913e-b05a82d2f11b.jpg
19729063717,"13 août 2026, 14:50:10",Solo trail dans les laurentides,Course à pied,"Pas un chat, conditions parfaites",11716,"23,43",191.0,205,false,,Scott Kinabalu ULTRA Rc,activities/20860158436.fit.gz,,,11716.0,10786.0,23436.1,5.2,2.173,953.0,971.1,329.9,768.6,39.8,-0.1,,,119.0,71.0,191.0,154.0,,,2046.0,,,205.0,,,,,,,,,,,0.0,,0.0,,1.0,28180.5,,,,,,,,,,,,,,,,20957754.0,,,,,,,,,,,2.0,21738.3,,,,24152.0,0.0,,,,2.613,,,,,,,,,,,,media/45a873ef-91ea-40f1-9385-3e99a0b5e242.jpg|media/427ff9ae-ad96-4d0b-affc-8b57750cf0a6.jpg|media/d5f0107b-5a5e-41c7-9e45-0a8b374052be.jpg|media/30b0d6fe-4ae7-4435-9e79-3ffa968cace4.jpg
19715793582,"12 août 2026, 14:07:27",Mont Nixon,Course à pied,Premier jour dans les montagnes canadiennes,9946,"17,35",189.0,95,false,,Scott Kinabalu ULTRA Rc,activities/20846496498.fit.gz,,,9946.0,7780.0,17353.7,4.96,2.231,580.2,567.0,336.2,644.3,36.7,0.1,,,125.0,74.0,189.0,147.0,,,1396.0,,,95.0,,,,,,,,,,,0.0,,0.0,,1.0,20232.9,,,,,,,,,,,,,,,,20957754.0,,,,,,,,,,,1.745,12809.5,,,,17602.0,0.0,,,,2.601,,,,,,,,,,,,media/63dfd334-0916-4f29-b06c-d00b2688bc83.jpg|media/17a78aef-8360-40d9-b211-ac80cfb0643d.mp4|media/d0663608-fd51-44f8-8c65-590687805d0f.jpg
19689151780,"10 août 2026, 23:27:11",Evening run,Course à pied,Footing transformé en seuil à cause d'un orage XXL,2223,"8,04",182.0,73,false,,Salomon Aero Blaze 3,activities/20818925481.fit.gz,,,2223.0,2170.0,8043.4,6.1,3.707,10.6,10.7,43.2,52.0,4.7,0.0,,,90.0,82.0,182.0,167.0,,,559.0,,,73.0,,,,,,,,,,,,,0.0,,1.0,8057.8,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,3.618,0.0,,,,5828.0,0.0,,,,3.713,,,,,,,,,,,,""
19684213914,"8 août 2026, 21:37:21",Visite Toronto,Marche,"",5082,"3,77",105.0,5,false,,Salomon Spectur,activities/20813847370.fit.gz,,,5082.0,3222.0,3771.8,4.22,1.171,11.9,12.5,83.8,92.0,9.9,0.0,,,70.0,52.0,105.0,83.0,,,282.0,,,5.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,11868224.0,,,,,,,,,,,0.742,0.0,,,,4802.0,0.0,,,,,,,,,,,,,,,,media/0144e1cd-2082-4fe6-a7ed-d218fcf0fcb1.jpg|media/6029965c-20be-48b4-b310-f5181928d452.jpg|media/41ced691-f56d-4c4f-9f76-ec5b41c9f907.jpg
19659068993,"8 août 2026, 15:19:46",Visite de Niagara,Marche,Surcotées un peu,9193,"4,59",114.0,6,false,,Salomon Spectur,activities/20787605698.fit.gz,,,9193.0,3265.0,4594.1,3.08,1.407,46.3,49.7,151.4,190.9,22.2,-0.1,,,116.0,55.0,114.0,91.0,,,370.0,,,6.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,11868224.0,,,,,,,,,,,0.5,0.0,,,,5910.0,0.0,,,,,,,,,,,,,,,,media/8420ac85-78a8-440a-a286-403e8553f970.jpg|media/bfef9cec-c01a-428e-b33d-9a5a04383575.mp4|media/7d7b774a-009d-4366-a66e-abad6e40ee9a.mp4
19655122653,"8 août 2026, 13:55:36",Correspondance rapide pour aller à Niagara,Course à pied,On a eu le bus 🙏,123,"0,23",156.0,0,false,,Salomon Aero Blaze 3,activities/20783499200.fit.gz,,,123.0,82.0,230.9,4.62,2.816,0.0,0.0,99.7,99.8,0.0,0.0,,,83.0,75.0,156.0,144.0,,,24.0,,,0.0,,,,,,,,,,,,,0.0,,1.0,230.7,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,1.877,0.0,,,,270.0,0.0,,,,2.813,,,,,,,,,,,,""
19645751937,"6 août 2026, 22:40:30",Fractionné,Course à pied,3*2000 + 3*400,4179,"12,36",,,false,,Salomon Aero Blaze 3,activities/19645751937.fit,,,4179.0,4033.0,12362.0,5.48,3.065,36.0,34.0,52.4,71.4,14.3,0.0,,,,,,,,,1150.0,,30.0,,,,,,,,,,,,0.0,,0.0,,1.0,12476.6,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.958,0.0,,,,,0.0,,,,3.094,,,,,,,,,,,,""
19619043878,"5 août 2026, 21:24:38",Récup avec le j,Course à pied,"",3134,"8,14",164.0,24,false,,Salomon Aero Blaze 3,activities/20745951666.fit.gz,,,3134.0,3006.0,8145.1,10.86,2.71,40.9,40.9,48.8,69.4,7.3,0.0,,,85.0,79.0,164.0,142.0,,,583.0,,,24.0,,,,,,,,,,,0.0,,0.0,,1.0,8178.3,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,2.599,1793.2,,,,7674.0,0.0,,,,2.721,,,,,,,,,,,,""
19604948859,"4 août 2026, 22:04:58",5*4' r = 3',Course à pied,"",3981,"12,56",187.0,95,false,,Salomon Aero Blaze 3,activities/20731305930.fit.gz,,,3981.0,3764.0,12560.6,5.34,3.337,37.1,36.8,43.2,62.8,10.6,0.0,,,113.0,80.0,187.0,160.0,,,865.0,,,95.0,,,,,,,,,,,,,0.0,,1.0,12613.6,,,,,,,,,,,,,,,,32469099.0,,,,,,,,,,,3.155,377.2,,,,9976.0,0.0,,,,3.351,,,,,,,,,,,,""
